Total Amt,Fee Surcharge Type 1,Fee Type Charges 1,Fee Surcharge Type 2,Fee Type Charges 2,Fee Surcharge Type 3,Fee Type Charges 3,Fee Surcharge Type 4,Fee Type Charges 4,Fee Surcharge Type 5,Fee Type Charges 5,Merchant Name,Merchant Number,Invoice Date,Invoice Number,Warehouse Name,Order Number,Order Date,Drop Ship Name,Shipment ID,No. of Pkgs,Received Date,Tracking Number,Pkg Reference,Dim Weight,Weight,Height,Width,Length,No. of Pieces,"Contents (SKU-Qty,SKU-Qty)",Company,Address 1,Address 2,City,State,Postal Code,Country,Ship From Zip,Zone,Carrier,Class of Service,Transmitted Shipping Method,Actual Shipping Method,Shipped Date,Fee Category,Ngs Postage Key,Fee Surcharge Type 6,Fee Type Charges 6,Fee Surcharge Type 7,Fee Type Charges 7,Fee Surcharge Type 8,Fee Type Charges 8,Fee Surcharge Type 9,Fee Type Charges 9,Fee Surcharge Type 10,Fee Type Charges 10
1.31,Base Fee,1.31,,,,,,,,,Quip,2731,,,"Hebron, KY",8928334d-3024-4d10-9f76-575faf6866f3,9/19/24,,316833192,1,9/19/24,2.71202E+17,1.57032E+14,,0.18,5.63,0.75,10.5,1,"920-00059,1",,,,,,27215,US,41048,4,Pitney Bowes PreSort,SMF,PB Presort Standard Flats,PB Presort Standard Flats,9/20/24,Postage,178328267,,,,,,,,,,
4.48,Base Fee,4.48,,,,,,,,,Quip,2731,,,"Hebron, KY",be45ac85-05da-45ec-93a9-86768aaf1bf6,10/17/24,,318493474,1,10/17/24,9.40011E+21,1.57032E+14,,0.25,6,2,12,1,"900-00290,1",,,,,,83340,US,41048,7,Pitney Bowes USPS,FCP,PB USPS First Class Package,PB USPS First Class Package,10/17/24,Postage,178493949,,,,,,,,,,
1.31,Base Fee,1.31,,,,,,,,,Quip,2731,,,"Hebron, KY",87fb47c7-7a54-4385-b942-4dbc28c81f6e,9/20/24,,316869858,1,9/20/24,2.71202E+17,1.57032E+14,,0.13,5.63,0.75,10.5,1,"920-00058,1",,,,,,60418,US,41048,3,Pitney Bowes PreSort,SMF,PB Presort Standard Flats,PB Presort Standard Flats,9/20/24,Postage,178328299,,,,,,,,,,
1.31,Base Fee,1.31,,,,,,,,,Quip,2731,,,"Hebron, KY",,,,311074080,,,2.71202E+17,1.57031E+14,,0.23,5.63,0.75,10.5,,",",,,,,,27549,US,,4,,,,,6/24/24,Postage,178328047,,,,,,,,,,
4.15,Base Fee,4.15,,,,,,,,,Quip,2731,,,"Hebron, KY",c5ef7655-87d3-47de-a674-c4af65044f92,10/13/24,,318232580,1,10/13/24,9.40011E+21,1.57032E+14,,0.17,6,2,9,1,"200-00001,2,900-00102,2,900-00283,1",,,,,,5059,US,41048,5,Pitney Bowes USPS,FCP,PB USPS First Class Package,PB USPS First Class Package,10/15/24,Postage,178453217,,,,,,,,,,
4.63,Base Fee,4.63,,,,,,,,,Quip,2731,,,"Hebron, KY",9daff170-8839-4cf0-a65b-951c696cacdf,10/16/24,,318344998,1,10/16/24,9.40011E+21,1.57032E+14,,0.4,6,2,9,1,"200-00001,1,900-00109,1,900-00190,1",,,,,,81637,US,41048,6,Pitney Bowes USPS,FCP,PB USPS First Class Package,PB USPS First Class Package,10/16/24,Postage,178479874,,,,,,,,,,
1.31,Base Fee,1.31,,,,,,,,,Quip,2731,,,"Hebron, KY",,,,311013498,,,2.71202E+17,1.57031E+14,,0.23,5.63,0.75,10.5,,",",,,,,,11725,US,,5,,,,,6/24/24,Postage,178328040,,,,,,,,,,
7.29,Base Fee,7.29,,,,,,,,,Quip,2731,,,"Hebron, KY",eb6a4af8-f747-4c73-b272-2e29999fbd9a,10/13/24,,318229402,1,10/13/24,9.40011E+21,1.57032E+14,,0.78,6,2,12,1,"900-00128,1,900-00150,1,900-00190,1",,,,,,59624,US,41048,7,Pitney Bowes USPS,FCP,PB USPS First Class Package,PB USPS First Class Package,10/14/24,Postage,178383843,,,,,,,,,,
8.57,Base Fee,8.57,,,,,,,,,Quip,2731,,,"Hebron, KY",3e3c1149-6c60-40da-9fca-d90dceee04ee,10/11/24,,318008286,1,10/11/24,9.40551E+21,1.57032E+14,,0.66,6,2,12,1,"900-00073,1,900-00138,1,900-00140,1",,,,,,28226,US,41048,4,Pitney Bowes USPS,PM,PB USPS Priority Mail,PB USPS Priority Mail,10/11/24,Postage,178363371,,,,,,,,,,
4.81,Base Fee,4.81,,,,,,,,,Quip,2731,,,"Hebron, KY",8efde549-89d9-4568-9e8d-e6017d12919d,10/18/24,,318814310,1,10/18/24,9.40011E+21,1.57032E+14,,0.4,6,2,9,1,"200-00001,1,900-00102,1,900-00190,1",,,,,,98109,US,41048,8,Pitney Bowes USPS,FCP,PB USPS First Class Package,PB USPS First Class Package,10/18/24,Postage,178498972,,,,,,,,,,
1.25,Base Fee,1.25,,,,,,,,,Quip,2731,,,"Hebron, KY",,,,311038322,,,2.71202E+17,1.57031E+14,,0.11,5.63,0.75,10.5,,",",,,,,,27502,US,,4,,,,,6/24/24,Postage,178328071,,,,,,,,,,
4.81,Base Fee,4.81,,,,,,,,,Quip,2731,,,"Hebron, KY",389f0f9e-e783-42dd-bd6c-0ee4ba6714aa,10/11/24,,318008964,1,10/11/24,9.40011E+21,1.57032E+14,,0.34,6,2,9,1,"900-00190,1",,,,,,99123,US,41048,8,Pitney Bowes USPS,FCP,PB USPS First Class Package,PB USPS First Class Package,10/11/24,Postage,178361435,,,,,,,,,,
